Date,ABEV3,B3SA3,BBAS3,BBDC4,BBSE3,BPAC11,ELET3,EMBR3,ENEV3,EQTL3,GGBR4,ITSA4,ITUB4,JBSS3,PETR3,PRIO3,RAIL3,RENT3,SUZB3,VALE3,BNB,BTC,ETH,USDT,XRP,IMA-B5,IMA-B5MAIS,IMA-S,IRFM-1,IRFM-1MAIS
2017-11-13,15.84,6.6,9.99,15.49,16.39,4.4,19.75,15.39,3.34,12.06,5.69,4.73,13.75,7.53,17.25,1.2,12.05,19.44,19.63,22.93,5.509224,21389.23425,1027.142346,3.312093,0.65618793,5133.451681,6292.169825,4104.417635,9727.041691,11634.58933
2017-11-14,15.82,6.49,9.75,15.16,16.12,4.29,19.0,15.18,3.28,12.18,5.42,4.66,13.49,7.33,15.84,1.18,11.75,19.29,19.2,22.25,5.267193,21854.213170000003,1107.369356,3.345827,0.6791035,5131.671917,6271.925034,4105.580774,9729.627179,11610.761051
2017-11-16,15.99,6.84,10.22,15.55,16.29,4.31,19.53,15.19,3.3,12.43,5.58,4.73,13.83,7.39,16.14,1.2,12.05,19.93,19.49,22.56,5.107284,25712.22843,1082.8751639999998,3.2247915,0.74284791,5139.75874,6318.362315,4106.744355,9732.476415,11649.350437
2017-11-17,16.09,6.89,10.39,15.83,16.09,4.44,19.69,15.18,3.32,12.52,5.74,4.79,14.02,7.27,16.3,1.21,12.25,20.47,19.87,22.78,4.885949999999999,25081.21,1078.1662999999999,3.2573,0.7293094699999999,5150.480546,6348.493748,4107.908795,9736.293447,11681.714996
2017-11-21,16.3,7.06,10.57,16.19,16.24,4.38,19.95,15.5,3.42,12.58,5.73,4.86,14.3,7.39,16.15,1.21,12.98,20.55,20.07,23.56,5.181333,26395.47,1173.132,3.19580709,0.7553666600000001,5159.776455,6388.217814,4110.237662,9741.992462,11709.6533
2017-11-22,16.31,7.15,10.51,16.0,16.17,4.31,20.19,15.44,3.42,12.58,5.84,4.85,14.16,7.45,16.28,1.22,13.35,20.41,19.29,24.04,5.223204000000001,26549.6749,1226.7436160000002,3.2193637,0.7689717,5158.984618,6377.323013,4111.405546,9745.212353,11710.664065
2017-11-23,16.22,7.14,10.52,15.89,16.01,4.3,20.48,15.44,3.4,12.69,5.93,4.84,14.12,7.44,16.42,1.24,13.1,20.39,19.02,24.36,5.058226,25817.572119999997,1305.441142,3.205691,0.7732319999999999,5161.757217,6385.378633,4112.574125,9749.523798,11731.395905
2017-11-24,16.15,7.09,10.46,15.75,15.91,4.29,20.21,15.17,3.5,12.71,5.88,4.8,13.99,7.42,16.33,1.28,12.89,20.42,18.86,24.77,5.592917,26512.366319999997,1521.1117789999998,3.2038039,0.7791288999999999,5159.657096,6362.813597,4113.740216,9752.245904,11716.563389
2017-11-27,16.24,7.08,10.32,15.72,15.81,4.28,20.09,15.34,3.57,12.7,6.04,4.87,14.07,7.45,16.11,1.26,12.95,20.35,18.64,24.5,6.294015,31415.849640000004,1528.122288,3.22059906,0.7972419,5159.971382,6355.663214,4114.906594,9755.556253,11719.75127
2017-11-28,16.27,7.08,10.47,15.77,15.83,4.22,19.75,15.19,3.54,12.52,6.0,4.86,14.1,7.4,16.07,1.27,13.09,20.56,18.06,25.08,6.168384,31825.0062,1495.704612,3.18828348,0.89794965,5160.43442,6366.432612,4116.078241,9759.043305,11736.842785
2017-11-29,16.1,6.86,10.0,15.47,15.74,4.21,19.5,15.39,3.52,12.55,6.06,4.74,13.81,7.34,15.7,1.25,12.8,20.25,17.69,24.7,5.71296,31933.823399999997,1364.42364,3.2421048,0.7637838,5150.616781,6324.396388,4117.243739,9761.286807,11699.766191
2017-11-30,16.1,6.78,9.6,15.37,15.76,4.18,18.27,15.49,3.49,12.43,6.05,4.69,13.6,7.44,15.74,1.28,13.02,19.6,17.24,24.32,6.38157,32551.89768,1414.450446,3.305326,0.7710245600000001,5147.104396,6300.556654,4118.409591,9764.510695,11682.870679
2017-12-01,16.02,6.72,9.88,15.33,15.86,4.18,18.29,15.34,3.44,12.46,6.04,4.73,13.6,7.65,15.9,1.35,12.75,20.1,17.46,24.55,6.6789,35386.767,1500.86286,3.29058,0.8057034,5151.380783,6304.747707,4119.572043,9767.530061,11699.818804
2017-12-04,16.12,6.68,10.12,15.59,15.94,4.27,18.59,15.27,3.44,12.48,6.17,4.75,13.8,8.26,15.88,1.37,12.8,20.23,17.22,25.49,8.272454999999999,37709.09399,1508.5065,3.2441,0.79869742,5156.944313,6306.113641,4120.742563,9771.456309,11732.802235
2017-12-05,16.09,6.61,9.97,15.43,16.05,4.29,18.46,15.37,3.45,12.61,6.08,4.73,13.71,8.25,15.71,1.33,12.55,20.06,17.54,24.92,8.460054,37817.73794,1464.691418,3.2414,0.75751518,5161.399028,6319.007588,4121.909744,9774.864981,11754.784222
2017-12-06,16.22,6.55,10.27,15.59,16.32,4.32,18.63,15.74,3.47,12.69,6.08,4.79,13.86,8.27,15.79,1.34,12.86,20.71,18.6,24.74,8.121355999999999,44488.20576,1338.600076,3.267956,0.70600792,5159.579731,6310.29407,4123.075807,9777.721142,11762.973742
2017-12-07,16.23,6.43,9.87,15.48,16.49,4.35,18.44,15.97,3.5,12.6,6.16,4.74,13.81,8.09,15.65,1.36,12.49,20.55,18.42,24.45,8.752996,55447.59718,1365.664812,3.323506,0.6696371,5153.048069,6279.226178,4124.242074,9780.30284,11742.948507
2017-12-08,16.46,6.34,9.93,15.52,16.3,4.39,18.12,16.25,3.5,12.59,6.39,4.76,13.93,8.26,15.68,1.36,12.48,20.69,18.49,24.55,9.184122,52825.48968,1455.601042,3.324718,0.7692936599999999,5151.804292,6298.399009,4125.336802,9783.73296,11761.78121
2017-12-11,16.56,6.43,9.85,15.52,16.35,4.3,17.87,16.53,3.5,12.69,6.47,4.78,13.97,8.09,15.76,1.36,12.3,20.69,18.19,24.74,8.889643,55295.89275,1702.746675,3.337747,0.80998197,5151.221045,6302.147243,4126.42909,9786.689861,11761.670346
2017-12-12,16.84,6.56,10.07,15.83,16.41,4.24,18.14,16.45,3.52,12.84,6.55,4.83,14.08,8.34,15.98,1.39,12.06,20.58,18.16,25.04,8.43132,56486.20696,2099.134168,3.372528,1.1754251999999998,5146.490868,6282.484771,4127.524069,9788.702183,11745.229771
2017-12-13,16.49,6.41,9.83,15.56,16.46,4.22,17.7,16.13,3.51,12.82,6.42,4.76,13.77,8.15,15.73,1.4,11.86,20.38,17.82,24.99,9.002928,53907.679319999996,2286.114831,3.3099,1.51725816,5152.151864,6300.417102,4128.620101,9791.997398,11766.555036
2017-12-14,16.42,6.44,9.79,15.44,16.41,4.17,17.02,16.22,3.5,12.59,6.47,4.75,13.55,8.23,15.6,1.44,11.57,20.48,17.9,25.08,10.52667,55032.42822000001,2294.179118,3.3418,2.84286926,5149.004416,6282.331345,4129.715059,9794.392801,11753.965435
2017-12-15,16.37,6.41,9.85,15.38,16.53,4.15,17.18,16.08,3.5,12.76,6.59,4.77,13.6,8.3,15.36,1.47,11.33,20.73,17.99,25.53,13.573752,58000.774079999996,2234.694234,3.2946,2.43042642,5155.091035,6291.757428,4130.814884,9797.070444,11760.503152
2017-12-18,16.38,6.43,9.98,15.5,16.57,4.29,17.29,16.1,3.5,12.53,6.54,4.75,13.59,8.47,15.63,1.44,12.01,20.93,18.04,26.18,19.7532,62460.60605999999,2581.0518779999998,3.2872617,2.4882447599999997,5159.006042,6292.70313,4131.911676,9799.790452,11750.900472
2017-12-19,16.37,6.39,9.92,15.4,16.49,4.26,17.02,16.37,3.46,12.48,6.61,4.7,13.52,8.51,15.55,1.46,12.02,20.68,17.7,26.19,18.75243,57651.220629999996,2631.854202,3.322799,2.41610256,5158.412585,6281.18233,4133.008909,9801.731655,11733.83621
2017-12-20,16.46,6.42,9.93,15.54,16.52,4.2,16.73,16.32,3.46,12.41,6.7,4.78,13.57,8.45,15.75,1.46,12.24,20.89,18.21,27.09,16.983155,54286.7374,2621.638523,3.27956265,2.35587688,5166.327568,6312.873841,4134.105099,9804.123793,11772.246397
2017-12-21,16.67,6.5,10.04,16.0,16.56,4.24,17.56,19.99,3.44,12.47,6.82,4.95,14.14,8.64,16.43,1.49,12.3,21.2,18.67,27.49,17.070828000000002,51715.67643,2603.532851,3.2917585,3.7052960000000006,5168.879151,6330.753056,4135.204745,9806.066664,11788.62972
2017-12-22,16.72,6.58,10.07,16.05,16.54,4.18,18.32,19.7,3.45,12.43,6.79,4.96,14.07,8.64,16.37,1.54,12.32,21.0,18.35,27.83,14.315301,45598.7385,2096.2072110000004,3.437007,3.3369,5168.684433,6311.134441,4136.303734,9808.923878,11794.876794
2017-12-26,16.89,6.6,10.18,16.08,16.5,4.17,17.95,20.94,3.48,12.63,6.76,4.98,14.13,8.93,16.48,1.58,12.35,21.18,18.19,27.87,30.62675,52170.1026,2482.5878,3.311,3.54277,5179.803937,6344.803456,4137.399983,9812.035942,11822.049277
2017-12-27,17.01,6.69,10.31,16.1,16.63,4.18,17.93,20.18,3.46,12.78,6.75,4.97,14.05,9.17,16.54,1.62,12.62,21.92,18.23,27.88,33.381043000000005,51104.48734000001,2441.2581050000003,3.348049,4.011029,5182.845826,6340.480387,4138.495842,9814.594022,11827.028897
2017-12-28,16.92,6.73,10.24,16.34,16.7,4.17,18.87,19.88,3.48,12.76,6.76,4.97,14.09,9.23,16.69,1.64,12.97,21.65,18.4,28.16,30.636925,47689.934270000005,2356.294182,3.378342,4.173246,5191.095607,6347.898248,4139.591992,9817.171673,11849.317585
2018-01-02,17.24,6.76,10.6,16.7,16.82,4.15,18.33,20.4,3.52,12.77,7.08,5.07,14.53,9.5,17.1,1.71,12.99,22.34,18.5,29.18,28.416736,48080.66108,2798.592264,3.323976,7.136772,5204.442157,6396.212606,4141.78818,9823.798028,11908.781171
2018-01-03,17.28,6.88,10.73,16.78,16.83,4.19,18.09,21.18,3.54,12.79,7.07,5.13,14.63,9.3,17.32,1.74,12.6,22.64,18.36,29.0,30.103170000000002,49060.39854,3049.192169,3.269269,8.836737,5212.828276,6419.611125,4142.887713,9828.843991,11923.394736
2018-01-04,17.19,6.92,10.83,17.06,16.87,4.21,17.98,21.67,3.51,12.65,7.46,5.22,14.93,9.31,17.47,1.8,12.62,22.97,18.41,29.12,29.562416000000002,49098.51544,3040.336,3.299088,8.829912,5219.447046,6439.486164,4143.985134,9831.687023,11927.349479
2018-01-05,17.25,7.02,10.83,17.15,16.98,4.28,17.81,20.53,3.52,12.78,7.36,5.23,14.97,9.39,17.61,1.9,12.6,22.63,18.36,29.58,48.044544,54743.65824,3108.591776,3.2288,8.104288,5218.739104,6431.117835,4145.08452,9832.587454,11914.868527
2018-01-08,17.22,7.06,10.86,17.15,17.08,4.33,17.93,20.58,3.45,12.94,7.62,5.23,14.92,9.41,17.88,2.05,12.76,22.53,18.8,30.24,58.3308,48531.87372,3659.60958,3.2406,7.809846000000001,5221.66043,6448.489566,4146.184793,9834.277786,11930.087076
2018-01-09,17.17,6.96,10.76,16.99,17.02,4.3,17.22,20.11,3.48,12.94,7.66,5.14,14.76,9.09,17.88,1.83,12.35,22.34,19.0,30.12,56.518679999999996,48003.523700000005,4169.71434,3.280682,6.892355580000001,5223.37119,6457.391241,4147.282744,9836.522001,11923.948878
2018-01-10,17.17,6.89,10.71,16.81,16.95,4.27,16.52,20.17,3.4,12.84,7.56,5.14,14.71,9.11,17.55,1.8,12.32,22.29,19.11,29.7,56.42544,48558.804000000004,4028.5440000000003,3.228,6.452772,5232.618014,6476.921774,4148.380986,9836.515764,11933.724002
